indice,numero_pseudoaleatorio
1,0.7864
2,0.8679
3,0.2069
4,0.0153
5,0.8145
6,0.3639
7,0.374
8,0.9117
9,0.5389
10,0.691
11,0.7888
12,0.9957
13,0.011
14,0.5856
15,0.1773
16,0.4394
17,0.3936
18,0.9552
19,0.8548
20,0.5095
21,0.1257
22,0.6922
23,0.8527
24,0.3977
25,0.1735
26,0.2371
27,0.6232
28,0.1791
29,0.5352
30,0.494
31,0.3005
32,0.9986
33,0.1654
34,0.8058
35,0.9007
36,0.9532
37,0.7483
38,0.8394
39,0.6896
40,0.7143
41,0.0293
42,0.5599
43,0.809
44,0.0711
45,0.7853
46,0.8093
47,0.0871
48,0.6372
49,0.9245
50,0.2203
51,0.7287
52,0.7959
53,0.3737
54,0.8957
55,0.687
56,0.5758
57,0.6555
58,0.8988
59,0.8521
60,0.3658
61,0.4751
62,0.2943
63,0.6685
64,0.5909
65,0.4595
66,0.4637
67,0.6873
68,0.5918
69,0.5074
70,0.0139
71,0.74
72,0.3976
73,0.1682
74,0.9549
75,0.8388
76,0.6577
77,0.0159
78,0.8465
79,0.0676
80,0.599
81,0.8907
82,0.4208
83,0.4033
84,0.4716
85,0.1079
86,0.7445
87,0.6371
88,0.9192
89,0.9382
90,0.9497
91,0.562
92,0.9208
93,0.0233
94,0.2404
95,0.7988
96,0.5281
97,0.116
98,0.1758
99,0.3595
100,0.1397
101,0.4376
102,0.2978
103,0.8548
104,0.5095
105,0.1257
106,0.6922
107,0.8527
108,0.3977
109,0.1735
110,0.2371
111,0.6232
112,0.1791
113,0.5352
114,0.494
115,0.3005
116,0.9986
117,0.1654
118,0.8058
119,0.9007
120,0.9532
121,0.7483
122,0.8394
123,0.6896
124,0.7143
125,0.0293
126,0.5599
127,0.809
128,0.0711
129,0.7853
130,0.8093
131,0.0871
132,0.6372
133,0.9245
134,0.2203
135,0.7287
136,0.7959
137,0.3737
138,0.8957
139,0.687
140,0.5758
141,0.6555
142,0.8988
143,0.8521
144,0.3658
145,0.4751
146,0.2943
147,0.6685
148,0.5909
149,0.4595
150,0.4637
151,0.6873
152,0.5918
153,0.5074
154,0.0139
155,0.74
156,0.3976
157,0.1682
158,0.9549
159,0.8388
160,0.6577
161,0.0159
162,0.8465
163,0.0676
164,0.599
165,0.8907
166,0.4208
167,0.4033
168,0.4716
169,0.1079
170,0.7445
171,0.6371
172,0.9192
173,0.9382
174,0.9497
175,0.562
176,0.9208
177,0.0233
178,0.2404
179,0.7988
180,0.5281
181,0.116
182,0.1758
183,0.3595
184,0.1397
185,0.4376
186,0.2978
187,0.8548
188,0.5095
189,0.1257
190,0.6922
191,0.8527
192,0.3977
193,0.1735
194,0.2371
195,0.6232
196,0.1791
197,0.5352
198,0.494
199,0.3005
200,0.9986
201,0.1654
202,0.8058
203,0.9007
204,0.9532
205,0.7483
206,0.8394
207,0.6896
208,0.7143
209,0.0293
210,0.5599
211,0.809
212,0.0711
213,0.7853
214,0.8093
215,0.0871
216,0.6372
217,0.9245
218,0.2203
219,0.7287
220,0.7959
221,0.3737
222,0.8957
223,0.687
224,0.5758
225,0.6555
226,0.8988
227,0.8521
228,0.3658
229,0.4751
230,0.2943
231,0.6685
232,0.5909
233,0.4595
234,0.4637
235,0.6873
236,0.5918
237,0.5074
238,0.0139
239,0.74
240,0.3976
241,0.1682
242,0.9549
243,0.8388
244,0.6577
245,0.0159
246,0.8465
247,0.0676
248,0.599
249,0.8907
250,0.4208
251,0.4033
252,0.4716
253,0.1079
254,0.7445
255,0.6371
256,0.9192
257,0.9382
258,0.9497
259,0.562
260,0.9208
261,0.0233
262,0.2404
263,0.7988
264,0.5281
265,0.116
266,0.1758
267,0.3595
268,0.1397
269,0.4376
270,0.2978
271,0.8548
272,0.5095
273,0.1257
274,0.6922
275,0.8527
276,0.3977
277,0.1735
278,0.2371
279,0.6232
280,0.1791
281,0.5352
282,0.494
283,0.3005
284,0.9986
285,0.1654
286,0.8058
287,0.9007
288,0.9532
289,0.7483
290,0.8394
291,0.6896
292,0.7143
293,0.0293
294,0.5599
295,0.809
296,0.0711
297,0.7853
298,0.8093
299,0.0871
300,0.6372
301,0.9245
302,0.2203
303,0.7287
304,0.7959
305,0.3737
306,0.8957
307,0.687
308,0.5758
309,0.6555
310,0.8988
311,0.8521
312,0.3658
313,0.4751
314,0.2943
315,0.6685
316,0.5909
317,0.4595
318,0.4637
319,0.6873
320,0.5918
321,0.5074
322,0.0139
323,0.74
324,0.3976
325,0.1682
326,0.9549
327,0.8388
328,0.6577
329,0.0159
330,0.8465
331,0.0676
332,0.599
333,0.8907
334,0.4208
335,0.4033
336,0.4716
337,0.1079
338,0.7445
339,0.6371
340,0.9192
341,0.9382
342,0.9497
343,0.562
344,0.9208
345,0.0233
346,0.2404
347,0.7988
348,0.5281
349,0.116
350,0.1758
351,0.3595
352,0.1397
353,0.4376
354,0.2978
355,0.8548
356,0.5095
357,0.1257
358,0.6922
359,0.8527
360,0.3977
361,0.1735
362,0.2371
363,0.6232
364,0.1791
365,0.5352
366,0.494
367,0.3005
368,0.9986
369,0.1654
370,0.8058
371,0.9007
372,0.9532
373,0.7483
374,0.8394
375,0.6896
376,0.7143
377,0.0293
378,0.5599
379,0.809
380,0.0711
381,0.7853
382,0.8093
383,0.0871
384,0.6372
385,0.9245
386,0.2203
387,0.7287
388,0.7959
389,0.3737
390,0.8957
391,0.687
392,0.5758
393,0.6555
394,0.8988
395,0.8521
396,0.3658
397,0.4751
398,0.2943
399,0.6685
400,0.5909
401,0.4595
402,0.4637
403,0.6873
404,0.5918
405,0.5074
406,0.0139
407,0.74
408,0.3976
409,0.1682
410,0.9549
411,0.8388
412,0.6577
413,0.0159
414,0.8465
415,0.0676
416,0.599
417,0.8907
418,0.4208
419,0.4033
420,0.4716
421,0.1079
422,0.7445
423,0.6371
424,0.9192
425,0.9382
426,0.9497
427,0.562
428,0.9208
429,0.0233
430,0.2404
431,0.7988
432,0.5281
433,0.116
434,0.1758
435,0.3595
436,0.1397
437,0.4376
438,0.2978
439,0.8548
440,0.5095
441,0.1257
442,0.6922
443,0.8527
444,0.3977
445,0.1735
446,0.2371
447,0.6232
448,0.1791
449,0.5352
450,0.494
451,0.3005
452,0.9986
453,0.1654
454,0.8058
455,0.9007
456,0.9532
457,0.7483
458,0.8394
459,0.6896
460,0.7143
461,0.0293
462,0.5599
463,0.809
464,0.0711
465,0.7853
466,0.8093
467,0.0871
468,0.6372
469,0.9245
470,0.2203
471,0.7287
472,0.7959
473,0.3737
474,0.8957
475,0.687
476,0.5758
477,0.6555
478,0.8988
479,0.8521
480,0.3658
481,0.4751
482,0.2943
483,0.6685
484,0.5909
485,0.4595
486,0.4637
487,0.6873
488,0.5918
489,0.5074
490,0.0139
491,0.74
492,0.3976
493,0.1682
494,0.9549
495,0.8388
496,0.6577
497,0.0159
498,0.8465
499,0.0676
500,0.599
501,0.8907
502,0.4208
503,0.4033
504,0.4716
505,0.1079
506,0.7445
507,0.6371
508,0.9192
509,0.9382
510,0.9497
511,0.562
512,0.9208
513,0.0233
514,0.2404
515,0.7988
516,0.5281
517,0.116
518,0.1758
519,0.3595
520,0.1397
521,0.4376
522,0.2978
523,0.8548
524,0.5095
525,0.1257
526,0.6922
527,0.8527
528,0.3977
529,0.1735
530,0.2371
531,0.6232
532,0.1791
533,0.5352
534,0.494
535,0.3005
536,0.9986
537,0.1654
538,0.8058
539,0.9007
540,0.9532
541,0.7483
542,0.8394
543,0.6896
544,0.7143
545,0.0293
546,0.5599
547,0.809
548,0.0711
549,0.7853
550,0.8093
551,0.0871
552,0.6372
553,0.9245
554,0.2203
555,0.7287
556,0.7959
557,0.3737
558,0.8957
559,0.687
