indice,numero_pseudoaleatorio
1,0.442
2,0.2734
3,0.1587
4,0.6382
5,0.7165
6,0.4851
7,0.3478
8,0.7396
9,0.5969
10,0.7287
11,0.0723
12,0.4797
13,0.0879
14,0.2306
15,0.0987
16,0.7504
17,0.1167
18,0.6167
19,0.6817
20,0.8102
21,0.9949
22,0.8845
23,0.5709
24,0.4774
25,0.9772
26,0.0326
27,0.569
28,0.3859
29,0.5733
30,0.5929
31,0.5362
32,0.8073
33,0.8553
34,0.1655
35,0.9655
36,0.4695
37,0.597
38,0.7336
39,0.3081
40,0.8288
41,0.8901
42,0.8405
43,0.4532
44,0.8125
45,0.1056
46,0.0825
47,0.9707
48,0.7197
49,0.6391
50,0.7598
51,0.5691
52,0.3907
53,0.8043
54,0.7109
55,0.2156
56,0.3768
57,0.1353
58,0.5119
59,0.6377
60,0.6925
61,0.33
62,0.8829
63,0.4939
64,0.7714
65,0.1274
66,0.1317
67,0.3387
68,0.3016
69,0.516
70,0.835
71,0.1885
72,0.0725
73,0.4894
74,0.5548
75,0.7025
76,0.8113
77,0.0478
78,0.3006
79,0.4678
80,0.5152
81,0.7965
82,0.3355
83,0.1476
84,0.1039
85,0.0007
86,0.0336
87,0.6171
88,0.701
89,0.7391
90,0.5728
91,0.5688
92,0.3763
93,0.1113
94,0.3568
95,0.1727
96,0.312
97,0.0165
98,0.7941
99,0.22
100,0.5886
101,0.3293
102,0.8492
103,0.8719
104,0.9645
105,0.4213
106,0.2771
107,0.3368
108,0.2101
109,0.1121
110,0.3953
111,0.0257
112,0.2369
113,0.4019
114,0.3434
115,0.5278
116,0.403
117,0.3963
118,0.0739
119,0.5568
120,0.7987
121,0.4414
122,0.2445
123,0.7677
124,0.9494
125,0.6946
126,0.431
127,0.744
128,0.8087
129,0.9227
130,0.4095
131,0.7092
132,0.1337
133,0.4349
134,0.9317
135,0.8427
136,0.5591
137,0.9094
138,0.7694
139,0.0312
140,0.5016
141,0.142
142,0.8344
143,0.1596
144,0.6815
145,0.8005
146,0.528
147,0.4126
148,0.8584
149,0.3147
150,0.1465
151,0.051
152,0.4546
153,0.8798
154,0.3447
155,0.5904
156,0.4159
157,0.0172
158,0.8278
159,0.842
160,0.5254
161,0.2875
162,0.8373
163,0.2992
164,0.4004
165,0.2712
166,0.0528
167,0.5412
168,0.0479
169,0.3054
170,0.6989
171,0.638
172,0.7069
173,0.023
174,0.1069
175,0.145
176,0.9788
177,0.1096
178,0.275
179,0.2357
180,0.3442
181,0.5663
182,0.256
183,0.3212
184,0.4593
185,0.1061
186,0.1065
187,0.1258
188,0.0547
189,0.6327
190,0.4518
191,0.7451
192,0.8616
193,0.4688
194,0.5633
195,0.1116
196,0.3713
197,0.8706
198,0.9019
199,0.4084
200,0.6562
201,0.5829
202,0.0549
203,0.6423
204,0.9138
205,0.9811
206,0.2203
207,0.603
208,0.0223
209,0.0732
210,0.5231
211,0.1768
212,0.5093
213,0.5126
214,0.6714
215,0.3144
216,0.132
