Dia,Stock_Inicial,Llega_Pedido,Demanda,Stock_Final,Ventas_Perdidas,Emite_Pedido,Lead_Time,CTALM_Acumulado,CVTAP_Acumulado,CTEP_Acumulado,CTF_Acumulado
1,80,SI,2,78,0,NO,-,39000,0,0,39000
2,78,NO,1,77,0,NO,-,77500,0,0,77500
3,77,NO,3,74,0,NO,-,114500,0,0,114500
4,74,NO,2,72,0,NO,-,150500,0,0,150500
5,72,NO,2,70,0,NO,-,185500,0,0,185500
6,70,NO,2,68,0,NO,-,219500,0,0,219500
7,68,NO,3,65,0,NO,-,252000,0,0,252000
8,65,NO,2,63,0,NO,-,283500,0,0,283500
9,63,NO,2,61,0,NO,-,314000,0,0,314000
10,61,NO,0,61,0,NO,-,344500,0,0,344500
11,61,NO,3,58,0,NO,-,373500,0,0,373500
12,58,NO,2,56,0,NO,-,401500,0,0,401500
13,56,NO,1,55,0,NO,-,429000,0,0,429000
14,55,NO,5,50,0,NO,-,454000,0,0,454000
15,50,NO,3,47,0,NO,-,477500,0,0,477500
16,47,NO,2,45,0,NO,-,500000,0,0,500000
17,45,NO,0,45,0,NO,-,522500,0,0,522500
18,45,NO,3,42,0,NO,-,543500,0,0,543500
19,42,NO,0,42,0,NO,-,564500,0,0,564500
20,42,NO,2,40,0,NO,-,584500,0,0,584500
21,40,NO,4,36,0,NO,-,602500,0,0,602500
22,36,NO,2,34,0,NO,-,619500,0,0,619500
23,34,NO,2,32,0,NO,-,635500,0,0,635500
24,32,NO,2,30,0,NO,-,650500,0,0,650500
25,30,NO,0,30,0,NO,-,665500,0,0,665500
26,30,NO,3,27,0,NO,-,679000,0,0,679000
27,27,NO,2,25,0,NO,-,691500,0,0,691500
28,25,NO,4,21,0,NO,-,702000,0,0,702000
29,21,NO,4,17,0,SI,13,710500,0,5000,715500
30,17,NO,5,12,0,NO,-,716500,0,5000,721500
31,12,NO,2,10,0,NO,-,721500,0,5000,726500
32,10,NO,4,6,0,NO,-,724500,0,5000,729500
33,6,NO,0,6,0,NO,-,727500,0,5000,732500
34,6,NO,1,5,0,NO,-,730000,0,5000,735000
35,5,NO,3,2,0,NO,-,731000,0,5000,736000
36,2,NO,2,0,0,NO,-,731000,0,5000,736000
37,0,NO,0,0,0,NO,-,731000,0,5000,736000
38,0,NO,1,0,1,NO,-,731000,40000,5000,776000
39,0,NO,1,0,1,NO,-,731000,80000,5000,816000
40,0,NO,1,0,1,NO,-,731000,120000,5000,856000
41,0,NO,2,0,2,NO,-,731000,200000,5000,936000
42,40,SI,1,39,0,NO,-,750500,200000,5000,955500
43,39,NO,4,35,0,NO,-,768000,200000,5000,973000
44,35,NO,2,33,0,NO,-,784500,200000,5000,989500
45,33,NO,0,33,0,NO,-,801000,200000,5000,1006000
46,33,NO,3,30,0,NO,-,816000,200000,5000,1021000
47,30,NO,4,26,0,NO,-,829000,200000,5000,1034000
48,26,NO,2,24,0,NO,-,841000,200000,5000,1046000
49,24,NO,1,23,0,NO,-,852500,200000,5000,1057500
50,23,NO,1,22,0,NO,-,863500,200000,5000,1068500
51,22,NO,2,20,0,SI,9,873500,200000,10000,1083500
52,20,NO,1,19,0,NO,-,883000,200000,10000,1093000
53,19,NO,2,17,0,NO,-,891500,200000,10000,1101500
54,17,NO,2,15,0,NO,-,899000,200000,10000,1109000
55,15,NO,1,14,0,NO,-,906000,200000,10000,1116000
56,14,NO,7,7,0,NO,-,909500,200000,10000,1119500
57,7,NO,1,6,0,NO,-,912500,200000,10000,1122500
58,6,NO,3,3,0,NO,-,914000,200000,10000,1124000
59,3,NO,4,0,1,NO,-,914000,240000,10000,1164000
60,40,SI,5,35,0,NO,-,931500,240000,10000,1181500
61,35,NO,3,32,0,NO,-,947500,240000,10000,1197500
62,32,NO,3,29,0,NO,-,962000,240000,10000,1212000
63,29,NO,3,26,0,NO,-,975000,240000,10000,1225000
64,26,NO,3,23,0,NO,-,986500,240000,10000,1236500
65,23,NO,0,23,0,NO,-,998000,240000,10000,1248000
66,23,NO,2,21,0,NO,-,1008500,240000,10000,1258500
67,21,NO,3,18,0,SI,12,1017500,240000,15000,1272500
68,18,NO,0,18,0,NO,-,1026500,240000,15000,1281500
69,18,NO,3,15,0,NO,-,1034000,240000,15000,1289000
70,15,NO,3,12,0,NO,-,1040000,240000,15000,1295000
71,12,NO,0,12,0,NO,-,1046000,240000,15000,1301000
72,12,NO,2,10,0,NO,-,1051000,240000,15000,1306000
73,10,NO,4,6,0,NO,-,1054000,240000,15000,1309000
74,6,NO,1,5,0,NO,-,1056500,240000,15000,1311500
75,5,NO,3,2,0,NO,-,1057500,240000,15000,1312500
76,2,NO,3,0,1,NO,-,1057500,280000,15000,1352500
77,0,NO,1,0,1,NO,-,1057500,320000,15000,1392500
78,0,NO,4,0,4,NO,-,1057500,480000,15000,1552500
79,40,SI,3,37,0,NO,-,1076000,480000,15000,1571000
80,37,NO,2,35,0,NO,-,1093500,480000,15000,1588500
81,35,NO,2,33,0,NO,-,1110000,480000,15000,1605000
82,33,NO,4,29,0,NO,-,1124500,480000,15000,1619500
83,29,NO,4,25,0,NO,-,1137000,480000,15000,1632000
84,25,NO,1,24,0,NO,-,1149000,480000,15000,1644000
85,24,NO,2,22,0,NO,-,1160000,480000,15000,1655000
86,22,NO,1,21,0,NO,-,1170500,480000,15000,1665500
87,21,NO,3,18,0,SI,9,1179500,480000,20000,1679500
88,18,NO,2,16,0,NO,-,1187500,480000,20000,1687500
89,16,NO,2,14,0,NO,-,1194500,480000,20000,1694500
90,14,NO,2,12,0,NO,-,1200500,480000,20000,1700500
91,12,NO,3,9,0,NO,-,1205000,480000,20000,1705000
92,9,NO,2,7,0,NO,-,1208500,480000,20000,1708500
93,7,NO,2,5,0,NO,-,1211000,480000,20000,1711000
94,5,NO,0,5,0,NO,-,1213500,480000,20000,1713500
95,5,NO,3,2,0,NO,-,1214500,480000,20000,1714500
96,42,SI,2,40,0,NO,-,1234500,480000,20000,1734500
97,40,NO,1,39,0,NO,-,1254000,480000,20000,1754000
98,39,NO,5,34,0,NO,-,1271000,480000,20000,1771000
99,34,NO,3,31,0,NO,-,1286500,480000,20000,1786500
100,31,NO,2,29,0,NO,-,1301000,480000,20000,1801000
101,29,NO,0,29,0,NO,-,1315500,480000,20000,1815500
102,29,NO,3,26,0,NO,-,1328500,480000,20000,1828500
